id,teamId,league,notes,displayName,abbrName,cityName,conferenceName,defScheme,divName,injuryCount,logoId,nickName,offScheme,ovrRating,primaryColor,secondaryColor,userName,awayLosses,awayTies,awayWins,calendarYear,conferenceId,confLosses,confTies,confWins,capRoom,capAvailable,capSpent,defPassYds,defPassYdsRank,defRushYds,defRushYdsRank,defTotalYds,defTotalYdsRank,divisionId,divLosses,divisionName,divTies,divWins,homeLosses,homeTies,homeWins,netPts,offPassYds,offPassYdsRank,offRushYds,offRushYdsRank,offTotalYds,offTotalYdsRank,ptsAgainstRank,ptsForRank,playoffStatus,prevRank,ptsAgainst,ptsFor,rank,seed,seasonIndex,stageIndex,totalLosses,totalTies,totalWins,teamName,teamOvr,tODiff,weekIndex,winLossStreak,winPct,trade_block_comments,logo,banner,footer_banner
1501023,774635520,MEGA,,49ers,SF,San Francisco,NFC,11,NFC West,0,14,Niners,4,88,11141120,11506269,kislik34,0,0,0,2026,766640128,0,0,0,304200000,33870000,270330000,239,13,30,2,269,6,769785863,0,NFC West,0,0,0,0,1,7,194,24,67,23,261,29,5,23,1,16,14,21,12,6,1,1,0,0,1,49ers,88,1,1,1,1.00,,,,
1501014,774635521,MEGA,,Bears,CHI,Chicago,NFC,11,NFC North,2,0,Bears,6,85,726570,15089920,Arturretti,0,0,0,2026,766640128,1,0,1,304200000,22300000,281900000,384,24,227,30,611,26,769785861,0,NFC North,0,0,1,0,1,2,590,3,57,26,647,4,15,18,0,17,27,28,19,8,1,1,1,0,1,Bears,85,-2,1,255,0.50,,,,
1500997,774635522,MEGA,,Bengals,CIN,Cincinnati,AFC,11,AFC North,1,1,Bengals,1,88,16469780,0,staski23,0,0,0,2026,765198336,0,0,1,304200000,44310000,259890000,345,22,100,15,445,19,769785857,0,AFC North,0,1,0,0,1,3,318,13,49,30,367,17,23,9,1,12,31,34,9,4,1,1,0,0,1,Bengals,88,2,1,1,1.00,,,,
1501006,774635523,MEGA,,Bills,BUF,Buffalo,AFC,13,AFC East,0,2,Bills,2,83,798338,13961738,HMN Tails,0,0,0,2026,765198336,0,0,1,304200000,11470000,292730000,402,25,58,8,460,21,769785856,0,AFC East,0,1,0,0,1,9,278,16,173,7,451,12,19,3,1,26,30,39,7,5,1,1,0,0,1,Bills,83,2,1,1,1.00,,,,
1501008,774635524,MEGA,,Broncos,DEN,Denver,AFC,11,AFC West,1,3,Broncos,0,87,664387,16534530,BAJIEPA_23,0,0,0,2026,765198336,0,0,1,304200000,16990000,287210000,144,2,51,5,195,3,769785859,0,AFC West,0,1,0,0,1,34,262,18,134,13,396,15,3,2,1,1,7,41,4,2,1,1,0,0,1,Broncos,87,5,1,1,1.00,,,uploads/270cf8bf-04a6-4322-8c60-ba9aa1acb336.png,uploads/1b9322d6-1abc-42d4-b09c-2d80b7025c49.jpeg
1500998,774635525,MEGA,,Browns,CLE,Cleveland,AFC,11,AFC North,0,4,Browns,3,85,16727040,3218688,ellmanoso,0,0,0,2026,765198336,0,0,0,304200000,37840000,266360000,215,10,41,3,256,4,769785857,0,AFC North,0,0,0,0,1,15,173,27,135,12,308,21,6,16,1,23,15,30,11,7,1,1,0,0,1,Browns,85,1,1,1,1.00,,,,
1501018,774635526,MEGA,,Buccaneers,TB,Tampa Bay,NFC,11,NFC South,1,5,Bucs,2,83,10685741,4078133,ajoudojuau,1,0,0,2026,766640128,0,0,0,304200000,44820000,259380000,173,6,135,21,308,10,769785862,0,NFC South,0,0,0,0,0,-15,215,21,41,31,256,30,20,27,0,5,30,15,26,13,1,1,1,0,0,Buccaneers,83,-1,1,255,0.00,,,,
1501026,774635527,MEGA,,Cardinals,ARI,Arizona,NFC,13,NFC West,4,6,Cardinals,0,84,8847399,16777215,FhouThe,1,0,0,2026,766640128,1,0,0,304200000,35540000,268660000,525,29,288,32,813,32,769785863,0,NFC West,0,0,1,0,0,-68,111,32,152,10,263,27,28,32,0,32,37,3,21,10,1,1,2,0,0,Cardinals,84,-4,1,254,0.00,,,,
1501009,774635530,MEGA,,Chargers,LAC,Los Angeles,AFC,11,AFC West,1,7,Bolts,5,84,32966,16761358,MrBungle255,1,0,0,2026,765198336,0,0,0,304200000,2780000,301420000,339,21,184,25,523,23,769785859,0,AFC West,0,0,1,0,0,-11,467,5,118,15,585,8,10,26,0,14,21,15,22,12,1,1,2,0,0,Chargers,84,-2,1,254,0.00,привет!,,,
1501010,774635531,MEGA,,Chiefs,KC,Kansas City,AFC,11,AFC West,0,8,Chiefs,10,88,14882871,15641886,VARVAR47,1,0,0,2026,765198336,1,0,0,304200000,6220000,297980000,262,14,134,20,396,18,769785859,1,AFC West,0,0,0,0,0,-34,144,31,51,29,195,32,31,31,0,27,41,7,30,16,1,1,1,0,0,Chiefs,88,-5,1,255,0.00,,,,
1501002,774635532,MEGA,,Colts,IND,Indianapolis,AFC,11,AFC South,0,9,Colts,0,86,78697,16777215,Mighty_Cowboy88,0,0,0,2026,765198336,0,0,1,304200000,8750000,295450000,272,16,72,9,344,14,769785858,0,AFC South,0,1,0,0,1,24,178,26,101,17,279,25,11,1,1,29,21,45,5,3,1,1,0,0,1,Colts,86,3,1,1,1.00,,,,
1501022,774635533,MEGA,,Commanders,WAS,Washington,NFC,11,NFC East,1,25,Commanders,6,87,5903380,16758290,Marcus_Hoper,1,0,0,2026,766640128,1,0,0,304200000,7020000,297180000,169,5,197,29,366,16,769785860,1,NFC East,0,0,0,0,0,-24,170,28,56,28,226,31,29,29,0,13,38,14,29,14,1,1,1,0,0,Commanders,87,-1,1,255,0.00,,,uploads/39e50258-5e6c-4877-991a-478971370a88.png,uploads/39cd1e23-304c-42de-b4da-2360df836455.jpg
1501019,774635534,MEGA,,Cowboys,DAL,Dallas,NFC,15,NFC East,1,10,Cowboys,4,85,798338,11581372,Iespaul,0,0,1,2026,766640128,0,0,1,304200000,830000,303370000,360,23,190,28,550,24,769785860,0,NFC East,0,1,0,0,1,31,355,10,355,1,710,3,7,8,1,11,19,34,2,1,1,1,0,0,2,Cowboys,85,0,1,2,1.00,,,,
1501003,774635535,MEGA,,Dolphins,MIA,Miami,AFC,11,AFC East,0,11,Phins,0,82,36503,16534530,manateedanvlc,1,0,0,2026,765198336,1,0,0,304200000,37670000,266530000,504,28,89,11,593,25,769785856,1,AFC East,0,0,0,0,1,-24,485,4,63,24,548,10,14,30,0,20,25,13,17,10,1,1,1,0,1,Dolphins,82,-1,1,1,0.50,,,,
1501020,774635536,MEGA,,Eagles,PHI,Philadelphia,NFC,13,NFC East,2,12,Eagles,10,84,18513,10660525,DawgMind,1,0,0,2026,766640128,1,0,0,304200000,107130000,197070000,291,18,56,7,347,15,769785860,0,NFC East,0,0,0,0,0,-10,196,23,91,21,287,23,21,24,0,31,30,20,25,12,1,1,1,0,0,Eagles,84,-1,1,255,0.00,,,,
1501015,774635537,MEGA,,Falcons,ATL,Atlanta,NFC,13,NFC South,0,13,Falcons,2,86,10685741,0,TaliSSman89,1,0,0,2026,766640128,1,0,0,304200000,8220000,295980000,155,3,106,17,261,5,769785862,0,NFC South,0,0,0,0,0,-5,232,20,91,20,323,20,26,15,0,15,35,30,24,11,1,1,1,0,0,Falcons,86,-2,1,255,0.00,,,,
1501021,774635539,MEGA,,Giants,NYG,New York,NFC,15,NFC East,0,15,G-Men,4,86,74578,10685741,JesterSV,0,0,1,2026,766640128,0,0,2,304200000,550000,303650000,217,11,82,10,299,9,769785860,0,NFC East,0,0,0,0,1,54,394,9,190,5,584,9,4,7,1,10,7,34,3,5,1,1,0,0,2,Giants,86,5,1,2,1.00,,,,
1500999,774635541,MEGA,,Jaguars,JAX,Jacksonville,AFC,12,AFC South,0,16,Jags,0,84,25974,0,TheChief_993,0,0,1,2026,765198336,0,0,1,304200000,28500000,275700000,466,26,259,31,725,29,769785858,0,AFC South,0,1,1,0,0,0,342,12,281,2,623,7,17,17,0,18,29,29,13,8,1,1,1,0,1,Jaguars,84,4,1,255,0.50,,,,
1501004,774635542,MEGA,,Jets,NYJ,New York,AFC,17,AFC East,0,17,Jets,2,85,1136448,16777215,still_madcap18,1,0,0,2026,765198336,1,0,0,304200000,72040000,232160000,278,17,173,23,451,20,769785856,1,AFC East,0,0,0,0,0,-9,402,8,58,25,460,11,30,14,0,28,39,30,27,14,1,1,1,0,0,Jets,85,-2,1,255,0.00,,,,
1501011,774635543,MEGA,,Lions,DET,Detroit,NFC,14,NFC North,0,18,Lions,5,88,30390,11581372,artsiom_varnava,0,0,0,2026,766640128,0,0,1,304200000,15490000,288710000,232,12,91,12,323,12,769785861,0,NFC North,0,0,0,0,1,5,155,30,106,16,261,28,22,6,1,2,30,35,8,3,1,1,0,0,1,Lions,88,2,1,1,1.00,,,,
1501012,774635545,MEGA,,Packers,GB,Green Bay,NFC,13,NFC North,2,19,Pack,0,84,1846565,15641886,CuvierGaleocerdo,1,0,0,2026,766640128,0,0,1,304200000,7930000,296270000,481,27,174,24,655,27,769785861,0,NFC North,0,1,0,0,1,2,457,6,188,6,645,5,8,22,1,30,20,21,18,7,1,1,1,0,1,Packers,84,-1,1,255,0.50,,,,
1501016,774635546,MEGA,,Panthers,CAR,Carolina,NFC,20,NFC South,2,20,Panthers,0,85,34255,11711675,ParallelSkate8,1,0,0,2026,766640128,1,0,0,304200000,1610000,302590000,269,15,52,6,321,11,769785862,0,NFC South,0,0,0,0,0,-10,187,25,92,19,279,24,24,20,0,21,33,23,32,16,1,1,1,0,0,Panthers,85,0,1,255,0.00,,,,
1501005,774635547,MEGA,,Patriots,NE,New England,AFC,11,AFC East,0,21,Pats,0,83,795456,13111342,siewe6942,0,0,0,2026,765198336,0,0,1,304200000,9610000,294590000,163,4,17,1,180,2,769785856,0,AFC East,0,1,0,0,1,28,241,19,33,32,274,26,2,12,1,4,3,31,1,1,1,1,0,0,1,Patriots,83,2,1,1,1.00,,,,
1501007,774635548,MEGA,,Raiders,LV,Las Vegas,AFC,11,AFC West,0,22,Raiders,0,84,10923696,0,NEKLAK-JWLS,0,0,0,2026,765198336,0,0,0,304200000,14870000,289330000,33,1,98,14,131,1,769785859,0,AFC West,0,0,0,0,1,35,208,22,166,8,374,16,1,5,1,9,0,35,10,6,1,1,0,0,1,Raiders,84,3,1,1,1.00,,,,
1501024,774635549,MEGA,,Rams,LAR,Los Angeles,NFC,11,NFC West,1,23,Rams,0,83,13716,16765184,Kubik3ka,1,0,1,2026,766640128,1,0,0,304200000,23800000,280400000,305,19,156,22,461,22,769785863,0,NFC West,0,0,0,0,0,-17,284,15,145,11,429,14,12,28,0,22,22,14,20,9,1,1,1,0,1,Rams,83,-3,1,1,0.50,,,,
1500995,774635550,MEGA,,Ravens,BAL,Baltimore,AFC,11,AFC North,0,24,Ravens,0,88,2364255,0,galaktazavr_us,0,0,1,2026,765198336,1,0,0,304200000,1340000,302860000,572,31,126,18,698,28,769785857,0,AFC North,0,0,1,0,0,14,674,1,221,3,895,1,16,4,0,6,28,35,15,11,1,1,1,0,1,Ravens,88,-2,1,255,0.50,,,,
1501017,774635551,MEGA,,Saints,NO,New Orleans,NFC,11,NFC South,1,26,Saints,2,83,13876365,0,artst059,0,0,1,2026,766640128,0,0,1,304200000,16480000,287720000,541,30,186,26,727,30,769785862,0,NFC South,0,0,1,0,0,-10,431,7,197,4,628,6,18,19,1,7,29,24,16,4,1,1,1,0,1,Saints,83,3,1,1,0.50,,,,
1501025,774635552,MEGA,,Seahawks,SEA,Seattle,NFC,13,NFC West,0,27,Seahawks,2,83,5426,6929960,defisparta_ind,0,0,0,2026,766640128,0,0,1,304200000,17460000,286740000,196,9,91,13,287,8,769785863,0,NFC West,0,0,0,0,1,10,291,14,56,27,347,18,9,13,1,8,20,30,6,2,1,1,0,0,1,Seahawks,83,1,1,1,1.00,,,,
1500996,774635553,MEGA,,Steelers,PIT,Pittsburgh,AFC,11,AFC North,1,28,Steelers,0,85,15641886,0,BillyBilly4352,1,0,0,2026,765198336,1,0,0,304200000,10200000,294000000,318,20,49,4,367,17,769785857,1,AFC North,0,0,0,0,0,-3,345,11,100,18,445,13,25,11,0,25,34,31,23,13,1,1,1,0,0,Steelers,85,-2,1,255,0.00,,,,
1501001,774635554,MEGA,,Texans,HOU,Houston,AFC,20,AFC South,0,31,Texans,5,84,135192,15401000,McTraherMadden,0,0,1,2026,765198336,1,0,1,304200000,11700000,292500000,606,32,187,27,793,31,769785858,1,AFC South,0,0,1,0,0,-3,618,2,165,9,783,2,27,10,0,19,35,33,14,9,1,1,1,0,1,Texans,84,-2,1,1,0.50,,,,
1501000,774635555,MEGA,,Titans,TEN,Tennessee,AFC,11,AFC South,0,29,Titans,2,83,4494802,5426,Prianiikk,1,0,0,2026,765198336,1,0,0,304200000,43280000,260920000,178,7,101,16,279,7,769785858,1,AFC South,0,0,0,0,0,-24,272,17,72,22,344,19,32,21,0,3,45,21,28,15,1,1,1,0,0,Titans,83,-3,1,255,0.00,,,,
1501013,774635556,MEGA,,Vikings,MIN,Minnesota,NFC,12,NFC North,0,30,Vikes,0,83,5187203,16762415,Zkyrider,1,0,0,2026,766640128,1,0,0,304200000,4860000,299340000,194,8,132,19,326,13,769785861,1,NFC North,0,0,0,0,0,-6,159,29,128,14,287,22,13,25,0,24,23,17,31,15,1,1,1,0,0,Vikings,83,0,1,255,0.00,,,,
